nom_champ,type,longueur,description,obligatoire,format_attendu,valeurs_autorisees,source,proprietaire,classification,exemple,regle_qualite,commentaire
id_client,VARCHAR,10,Identifiant unique MDM du client,Oui,CLI-NNNNNN,,MDM,Directeur Commercial,CONFIDENTIEL,CLI-001234,CLI-001,Généré automatiquement par le hub MDM
type_client,VARCHAR,20,Catégorie juridique du client,Oui,,"Particulier,Entreprise,Administration,ONG",CRM,Directeur Commercial,CONFIDENTIEL,Particulier,CLI-012,Liste fermée de valeurs autorisées
nom,VARCHAR,100,Nom de famille ou raison sociale,Oui,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,MOUYABI,CLI-002,Saisie en majuscules recommandée
prenom,VARCHAR,100,Prénom(s) du client personne physique,Non,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,Jean-Baptiste,CLI-004,Vide pour les personnes morales
date_naissance,DATE,,Date de naissance — personnes physiques uniquement,Non,YYYY-MM-DD,,Système enregistrement,Directeur Commercial,CONFIDENTIEL,1985-03-12,CLI-005;CLI-006;CLI-007,Doit être dans le passé et cohérente avec l'âge minimum légal
telephone,VARCHAR,15,Numéro de téléphone principal,Oui,+242XXXXXXXXX ou 0XXXXXXXXX,,CRM,Directeur Commercial,CONFIDENTIEL,+2420641234567,CLI-008;CLI-009,Format Congo-Brazzaville obligatoire
email,VARCHAR,100,Adresse email principale du client,Non,user@domaine.extension,,CRM,Directeur Commercial,CONFIDENTIEL,jean.mouyabi@email.com,CLI-010,Validation format RFC 5322
adresse,VARCHAR,200,Adresse postale complète,Non,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,Rue de la Paix - Bacongo,,Peut être vide pour zones rurales sans adresse postale
quartier,VARCHAR,100,Quartier ou zone géographique,Non,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,Bacongo,,Particulièrement utile pour Brazzaville et Pointe-Noire
ville,VARCHAR,100,Ville de résidence ou siège social,Oui,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,Brazzaville,CLI-011,Doit correspondre au département
departement,VARCHAR,50,Département de résidence selon découpage administratif Congo,Oui,,"Brazzaville,Pointe-Noire,Bouenza,Cuvette,Cuvette-Ouest,Kouilou,Lékoumou,Likouala,Niari,Plateaux,Pool,Sangha",CRM,Directeur Commercial,CONFIDENTIEL,Brazzaville,CLI-011,Liste des 12 départements officiels du Congo-Brazzaville
pays,VARCHAR,50,Pays de résidence ou siège social,Oui,Texte libre,,CRM,Directeur Commercial,CONFIDENTIEL,Congo,,"Défaut : Congo. Utiliser le nom officiel complet"
statut,VARCHAR,20,Statut actuel du client dans le système,Oui,,"Actif,Inactif,Prospect,Bloqué",CRM,Directeur Commercial,CONFIDENTIEL,Actif,CLI-012,Changement de statut requiert validation Data Steward
date_creation,DATE,,Date de création de la fiche client,Oui,YYYY-MM-DD,,MDM,Directeur Commercial,CONFIDENTIEL,2025-06-15,CLI-013,Générée automatiquement à la création
date_derniere_maj,TIMESTAMP,,Date et heure de la dernière modification,Oui,YYYY-MM-DD HH:MM:SS,,MDM,Directeur Commercial,CONFIDENTIEL,2026-03-15 14:30:22,,Mise à jour automatique à chaque modification
source_creation,VARCHAR,50,Système ayant créé l'enregistrement initial,Oui,,"CRM,ERP,AGENCE,LEGACY,MDM",CRM,Directeur Commercial,INTERNE,CRM,,"Traçabilité de la source d'origine"
score_confiance,DECIMAL,"5,2",Score MDM de confiance dans le golden record (0 à 100),Oui,NNN.NN,,MDM,CDO,INTERNE,87.50,,Calculé automatiquement par le hub MDM
id_transaction,VARCHAR,20,Identifiant unique de la transaction,Oui,TXN-AAAA-NNNNNNNN,,ERP,Directeur Financier,CONFIDENTIEL,TXN-2026-00001234,TXN-001,Généré automatiquement par l'ERP
id_client_ref,VARCHAR,10,Référence vers le client associé à la transaction,Oui,CLI-NNNNNN,,ERP,Directeur Financier,CONFIDENTIEL,CLI-001234,TXN-002,Intégrité référentielle avec la table clients
